1317040011	中山醫學大學附設醫院
376499631X	雲林縣立東仁國民中學
376499632X	雲林縣立樟湖生態國民中小學
376499633X	雲林縣立古坑國民中小學
376499641X	雲林縣私立淵明國民中學
376499701YU100000	雲林縣斗六市鎮西國民小學人事室
376499701Y	雲林縣斗六市鎮西國民小學
376499701YU120000	雲林縣斗六市鎮西國民小學會計室
376499702YU133001	雲林縣斗六市鎮東國民小學會計室
376499702YU133002	雲林縣斗六市鎮東國民小學人事室
376499702Y	雲林縣斗六市鎮東國民小學
376499703Y	雲林縣斗六市溝壩國民小學
376499704Y	雲林縣斗六市梅林國民小學
376499705YU060000	雲林縣斗六市石榴國民小學會計室
376499705YU050000	雲林縣斗六市石榴國民小學人事室
376499705Y	雲林縣斗六市石榴國民小學
376499706Y	雲林縣斗六市溪洲國民小學
376499707Y	雲林縣斗六市保長國民小學
376499708Y	雲林縣斗六市林頭國民小學
376499709YU080000	雲林縣斗六市鎮南國民小學會計室
376499709YU070000	雲林縣斗六市鎮南國民小學人事室
376499709Y	雲林縣斗六市鎮南國民小學
376499710YU100000	雲林縣斗六市公誠國民小學人事室
376499710YU120000	雲林縣斗六市公誠國民小學會計室
376499710Y	雲林縣斗六市公誠國民小學
376499711Y	雲林縣斗六市久安國民小學
376499713Y	雲林縣古坑鄉東和國民小學
376499714Y	雲林縣古坑鄉永光國民小學
376499715Y	雲林縣古坑鄉華山國民小學
376499716Y	雲林縣古坑鄉棋山國民小學
376499717Y	雲林縣古坑鄉桂林國民小學
376499721Y	雲林縣古坑鄉興昌國民小學
376499723Y	雲林縣古坑鄉水碓國民小學
376499724YU094625	雲林縣林內鄉林內國民小學附設幼兒園
376499724Y	雲林縣林內鄉林內國民小學
376499725Y	雲林縣林內鄉重興國民小學
376499726Y	雲林縣林內鄉九芎國民小學
376499727Y	雲林縣林內鄉成功國民小學
376499728Y	雲林縣林內鄉林中國民小學
376499729Y	雲林縣林內鄉民生國民小學
376499730Y	雲林縣斗南鎮斗南國民小學
376499730YU100010	雲林縣斗南鎮斗南國民小學人事室
376499730YU120010	雲林縣斗南鎮斗南國民小學會計室
376499731Y	雲林縣斗南鎮大東國民小學
376499732Y	雲林縣斗南鎮石龜國民小學
376499733Y	雲林縣斗南鎮重光國民小學
376499734YU000006	雲林縣斗南鎮文安國民小學人事室
376499734Y	雲林縣斗南鎮文安國民小學
376499734YU530000	雲林縣斗南鎮文安國民小學會計室
376499735Y	雲林縣斗南鎮僑真國民小學
376499735YU109000	雲林縣中小學校長協會
376499735YU120000	雲林縣斗南鎮僑真國民小學會計室
376499735YU600000	雲林縣斗南鎮僑真國民小學人事室
376499736Y	雲林縣莿桐鄉莿桐國民小學
376499736YU050000	雲林縣莿桐鄉莿桐國民小學人事室
376499737Y	雲林縣莿桐鄉饒平國民小學
376499738Y	雲林縣莿桐鄉大美國民小學
376499739Y	雲林縣莿桐鄉六合國民小學
376499740Y	雲林縣莿桐鄉僑和國民小學
376499741YU010000	雲林縣大埤鄉大埤國民小學人事室
376499741Y	雲林縣大埤鄉大埤國民小學
376499741YU020000	雲林縣大埤鄉大埤國民小學會計室
376499742Y	雲林縣大埤鄉舊庄國民小學
376499743Y	雲林縣大埤鄉仁和國民小學
376499744Y	雲林縣大埤鄉嘉興國民小學
376499745YU000001	雲林縣虎尾鎮虎尾國民小學人事室
376499745YU000002	雲林縣虎尾鎮虎尾國民小學會計室
376499745Y	雲林縣虎尾鎮虎尾國民小學
376499746YU000002	雲林縣虎尾鎮立仁國民小學會計室
376499746Y	雲林縣虎尾鎮立仁國民小學
376499746YU100000	雲林縣虎尾鎮立仁國民小學人事室
376499747Y	雲林縣虎尾鎮大屯國民小學
376499748Y	雲林縣虎尾鎮中溪國民小學
376499749Y	雲林縣虎尾鎮光復國民小學
376499750Y	雲林縣虎尾鎮中正國民小學
376499751Y	雲林縣虎尾鎮平和國民小學
376499752Y	雲林縣虎尾鎮廉使國民小學
376499753Y	雲林縣虎尾鎮惠來國民小學
376499755YU007000	雲林縣虎尾鎮安慶國民小學人事室
376499755Y	雲林縣虎尾鎮安慶國民小學
376499755YU061000	雲林縣虎尾鎮安慶國民小學會計室
376499756YU120000	雲林縣土庫鎮土庫國民小學會計室
376499756YU100000	雲林縣土庫鎮土庫國民小學人事室
376499756Y	雲林縣土庫鎮土庫國民小學
376499757Y	雲林縣土庫鎮馬光國民小學
376499757YU130000	雲林縣土庫鎮教育會
376499758Y	雲林縣土庫鎮埤腳國民小學
376499759Y	雲林縣土庫鎮後埔國民小學
376499760Y	雲林縣土庫鎮秀潭國民小學
376499761Y	雲林縣土庫鎮新庄國民小學
376499762YU100010	雲林縣褒忠鄉褒忠國民小學人事室
376499762Y	雲林縣褒忠鄉褒忠國民小學
376499763Y	雲林縣褒忠鄉龍巖國民小學
376499764Y	雲林縣褒忠鄉復興國民小學
376499765Y	雲林縣東勢鄉東勢國民小學
376499766Y	雲林縣東勢鄉安南國民小學
376499767Y	雲林縣東勢鄉明倫國民小學
376499768Y	雲林縣東勢鄉同安國民小學
376499769Y	雲林縣東勢鄉龍潭國民小學
376499770Y	雲林縣臺西鄉臺西國民小學
376499770YU100000	雲林縣臺西鄉臺西國民小學人事室
376499770YU120000	雲林縣臺西鄉臺西國民小學會計室
376499771Y	雲林縣臺西鄉崙豐國民小學
376499772Y	雲林縣臺西鄉泉州國民小學
376499773Y	雲林縣臺西鄉新興國民小學
376499774Y	雲林縣臺西鄉尚德國民小學
376499775YU100000	雲林縣西螺鎮文昌國民小學人事室
376499775YU120000	雲林縣西螺鎮文昌國民小學會計室
376499775Y	雲林縣西螺鎮文昌國民小學
376499776Y	雲林縣西螺鎮中山國民小學
376499776YU010000	雲林縣西螺鎮中山國民小學人事室
376499777Y	雲林縣西螺鎮廣興國民小學
376499778Y	雲林縣西螺鎮安定國民小學
376499779Y	雲林縣西螺鎮吳厝國民小學
376499780Y	雲林縣西螺鎮大新國民小學
376499781Y	雲林縣西螺鎮文賢國民小學
376499782Y	雲林縣西螺鎮文興國民小學
376499783YU010000	雲林縣二崙鄉二崙國民小學人事室
376499783YU020000	雲林縣二崙鄉二崙國民小學會計室
376499783Y	雲林縣二崙鄉二崙國民小學
376499784Y	雲林縣二崙鄉三和國民小學
376499785Y	雲林縣二崙鄉油車國民小學
376499786Y	雲林縣二崙鄉大同國民小學
376499787Y	雲林縣二崙鄉永定國民小學
376499788Y	雲林縣二崙鄉義賢國民小學
376499789Y	雲林縣二崙鄉旭光國民小學
376499790Y	雲林縣二崙鄉來惠國民小學
376499791YU000001	雲林縣崙背鄉崙背國民小學會計室
376499791YU070000	雲林縣崙背鄉崙背國民小學人事室
376499791Y	雲林縣崙背鄉崙背國民小學
376499792Y	雲林縣崙背鄉豐榮國民小學
376499793Y	雲林縣崙背鄉大有國民小學
376499794Y	雲林縣崙背鄉中和國民小學
376499795Y	雲林縣崙背鄉陽明國民小學
376499796Y	雲林縣崙背鄉東興國民小學
376499797Y	雲林縣麥寮鄉麥寮國民小學
376499797YU100000	雲林縣麥寮鄉麥寮國民小學人事室
376499797YU200000	雲林縣麥寮鄉麥寮國民小學會計室
376499798YU103311	雲林縣麥寮鄉橋頭國民小學會計室
376499798YU100000	雲林縣麥寮鄉橋頭國民小學人事室
376499798Y	雲林縣麥寮鄉橋頭國民小學
376499799Y	雲林縣麥寮鄉明禮國民小學
376499800Y	雲林縣麥寮鄉興華國民小學
376499801Y	雲林縣麥寮鄉豐安國民小學
376499802Y	雲林縣北港鎮南陽國民小學
376499802YU020000	雲林縣北港鎮南陽國民小學會計室
376499802YU010000	雲林縣北港鎮南陽國民小學人事室
376499803YU100000	雲林縣北港鎮北辰國民小學人事室
376499803YU120000	雲林縣北港鎮北辰國民小學會計室
376499803YU160000	雲林縣北港鎮教育會
376499803Y	雲林縣北港鎮北辰國民小學
376499804Y	雲林縣北港鎮好收國民小學
376499805Y	雲林縣北港鎮育英國民小學
376499806Y	雲林縣北港鎮東榮國民小學
376499807Y	雲林縣北港鎮朝陽國民小學
376499808Y	雲林縣北港鎮辰光國民小學
376499809Y	雲林縣北港鎮僑美國民小學
376499810YU500001	雲林縣元長鄉元長國民小學會計室
376499810Y	雲林縣元長鄉元長國民小學
376499810YU010000	雲林縣元長鄉元長國民小學人事室
376499811Y	雲林縣元長鄉新生國民小學
376499812Y	雲林縣元長鄉客厝國民小學
376499813Y	雲林縣元長鄉山內國民小學
376499814Y	雲林縣元長鄉仁德國民小學
376499815Y	雲林縣元長鄉忠孝國民小學
376499816Y	雲林縣元長鄉仁愛國民小學
376499817Y	雲林縣元長鄉信義國民小學
376499818Y	雲林縣元長鄉和平國民小學
376499819Y	雲林縣四湖鄉四湖國民小學
376499820Y	雲林縣四湖鄉東光國民小學
376499821Y	雲林縣四湖鄉飛沙國民小學
376499822Y	雲林縣四湖鄉林厝國民小學
376499823Y	雲林縣四湖鄉三崙國民小學
376499824Y	雲林縣四湖鄉建陽國民小學
376499825Y	雲林縣四湖鄉南光國民小學
376499826Y	雲林縣四湖鄉鹿場國民小學
376499827Y	雲林縣四湖鄉明德國民小學
376499828Y	雲林縣四湖鄉建華國民小學
376499829Y	雲林縣口湖鄉口湖國民小學
376499830YU100000	雲林縣口湖鄉文光國民小學人事室
376499830Y	雲林縣口湖鄉文光國民小學
376499831Y	雲林縣口湖鄉金湖國民小學
376499832Y	雲林縣口湖鄉下崙國民小學
376499833Y	雲林縣口湖鄉興南國民小學
376499834Y	雲林縣口湖鄉崇文國民小學
376499835Y	雲林縣口湖鄉成龍國民小學
376499836Y	雲林縣口湖鄉臺興國民小學
376499837Y	雲林縣口湖鄉頂湖國民小學
376499840Y	雲林縣水林鄉蔦松國民小學
376499841Y	雲林縣水林鄉尖山國民小學
376499842Y	雲林縣水林鄉宏仁國民小學
376499843Y	雲林縣水林鄉文正國民小學
376499844Y	雲林縣水林鄉誠正國民小學
376499845Y	雲林縣水林鄉中興國民小學
376499848Y	雲林縣水林鄉大興國民小學
376499849Y	雲林縣莿桐鄉育仁國民小學
376499850Y	雲林縣土庫鎮宏崙國民小學
376499852Y	雲林縣大埤鄉聯美國民小學
376499853Y	雲林縣四湖鄉內湖國民小學
376499854Y	雲林縣古坑鄉新光國民小學
376499855YU070000	雲林縣斗六市雲林國民小學會計室
376499855YU060000	雲林縣斗六市雲林國民小學人事室
376499855Y	雲林縣斗六市雲林國民小學
376499856Y	雲林縣斗六市斗六國民小學
376499856YU070000	雲林縣斗六市斗六國民小學會計室
376499856YU060000	雲林縣斗六市斗六國民小學人事室
376499857Y	雲林縣水林鄉水燦林國民小學
376499857YU100010	雲林縣水林鄉水燦林國民小學人事室
376499858Y	雲林縣古坑鄉草嶺生態地質國民小學
376499859Y	雲林縣山峰華德福教育實驗國民小學
376499860Y	雲林縣潮厝華德福教育實驗國民小學
376499861Y	雲林縣虎尾鎮拯民國民小學
376499862Y	雲林縣古坑鄉華南實驗國民小學
376499863Y	雲林縣土庫鎮越港國民小學
376500000AU210000	嘉義縣政府參議辦公室
376500000AU020000	嘉義縣政府民政處
376500000AU200000	嘉義縣政府秘書長室
376500000AU120000	嘉義縣政府主計處
376500000AU110000	嘉義縣政府人事處
376500000AU270000	嘉義縣政府水利處
376500000AU090000	嘉義縣政府地政處
376500000AU250000	嘉義縣政府經濟發展處
376500000AU130000	嘉義縣政府政風處
376500000AU100000	嘉義縣政府綜合規劃處
376500000AU060000	嘉義縣政府農業處
376500000AU320000	嘉義縣政府勞工暨青年發展處
376500000AU290000	嘉義縣政府新聞行銷處
376500000AU310000	嘉義縣政府消保官室
376500000AU050000	嘉義縣政府教育處
376500000AU180000	嘉義縣政府副縣長室
376500000AU170000	嘉義縣政府縣長室
376500000A	嘉義縣政府
376500000AU220000	嘉義縣政府秘書辦公室
376500000AU190000	嘉義縣政府機要秘書室
376500000AU240000	嘉義縣政府行政處
376500000AU300000	嘉義縣政府建設處
376500200C	嘉義縣警察局
376500261C	嘉義縣警察局朴子分局
376500262C	嘉義縣警察局布袋分局
376500263C	嘉義縣警察局民雄分局
376500264C	嘉義縣警察局水上分局
376500265C	嘉義縣警察局中埔分局
376500266C	嘉義縣警察局竹崎分局
376500300I	嘉義縣衛生局
376500301I	嘉義縣立慢性病防治所
376500305IU111111	嘉義縣環境保護局人事室
376500305I	嘉義縣環境保護局
376500343I	嘉義縣布袋鎮衛生所
376500344I	嘉義縣大林鎮衛生所
376500345I	嘉義縣民雄鄉衛生所
376500346I	嘉義縣溪口鄉衛生所
376500347I	嘉義縣新港鄉衛生所
376500348I	嘉義縣六腳鄉衛生所
376500349I	嘉義縣東石鄉衛生所
376500350I	嘉義縣義竹鄉衛生所
376500351I	嘉義縣鹿草鄉衛生所
376500352I	嘉義縣水上鄉衛生所
376500353I	嘉義縣中埔鄉衛生所
376500354I	嘉義縣竹崎鄉衛生所
376500355I	嘉義縣梅山鄉衛生所
376500356I	嘉義縣番路鄉衛生所
376500357I	嘉義縣大埔鄉衛生所
376500360I	嘉義縣阿里山鄉衛生所
376500361I	嘉義縣太保市衛生所
376500362I	嘉義縣朴子市衛生所
376500400AU010000	嘉義縣朴子地政事務所人事室
376500400AU020000	嘉義縣朴子地政事務所會計室
376500400A	嘉義縣朴子地政事務所
376500500AU111111	嘉義縣大林地政事務所人事室
376500500A	嘉義縣大林地政事務所
376500600A	嘉義縣水上地政事務所
376500600AU000001	嘉義縣水上地政事務所人事室
376500700AU020000	嘉義縣竹崎地政事務所會計室
376500700A	嘉義縣竹崎地政事務所
376500700AU010000	嘉義縣竹崎地政事務所人事室
376501300DU200000	嘉義縣財政稅務局人事室
376501300D	嘉義縣財政稅務局
376501300DU100000	嘉義縣財政稅務局民雄分局
376501300DU300000	嘉義縣財政稅務局會計室
376501520A	嘉義縣朴子戶政事務所
376501521A	嘉義縣民雄戶政事務所
376501522A	嘉義縣水上戶政事務所
376501523A	嘉義縣竹崎戶政事務所
376502000C	嘉義縣消防局
376502200I	嘉義縣家畜疾病防治所
376502200IU100000	嘉義縣家畜疾病防治所人事室
376502800A	嘉義縣人力發展所
376502900E	嘉義縣表演藝術中心
376503200E	嘉義縣家庭教育中心
376503300JU000001	嘉義縣社會局人事室
376503300J	嘉義縣社會局
376503400H	嘉義縣文化觀光局
376504100M	嘉義縣公共汽車管理處
376505300AU000001	嘉義縣布袋鎮公所人事室
376505300A	嘉義縣布袋鎮公所
376505400AU950725	嘉義縣大林鎮公所人事室
376505400A	嘉義縣大林鎮公所
376505400AU950468	嘉義縣大林鎮公所主計室
376505500A	嘉義縣民雄鄉公所
376505600AU010000	嘉義縣溪口鄉公所人事室
376505600A	嘉義縣溪口鄉公所
376505700AU616616	嘉義縣新港鄉公所人事室
376505700A	嘉義縣新港鄉公所
376505800AU000001	嘉義縣六腳鄉公所人事室
376505800A	嘉義縣六腳鄉公所
376505900AUPERSON	嘉義縣東石鄉公所人事室
376505900A	嘉義縣東石鄉公所
376506000AU100001	嘉義縣義竹鄉公所人事室
376506000A	嘉義縣義竹鄉公所
376506100A	嘉義縣鹿草鄉公所
376506100AU611611	嘉義縣鹿草鄉公所人事室
376506200A	嘉義縣水上鄉公所
376506200AU000001	嘉義縣水上鄉公所人事室
376506300A	嘉義縣中埔鄉公所
376506300AU111111	嘉義縣中埔鄉公所人事室
376506400AU080000	嘉義縣竹崎鄉公所人事室
376506400A	嘉義縣竹崎鄉公所
376506500A	嘉義縣梅山鄉公所
376506500AU100010	嘉義縣梅山鄉公所人事室
376506600A	嘉義縣番路鄉公所
376506700AU000001	嘉義縣大埔鄉公所人事室
376506700A	嘉義縣大埔鄉公所
376506900A	嘉義縣阿里山鄉公所
376506900AU100000	嘉義縣阿里山鄉公所人事室
376507000AU123456	嘉義縣太保市公所人事室
376507000A	嘉義縣太保市公所
376507100A	嘉義縣朴子市公所
376507100AU000001	嘉義縣朴子市公所人事室
376509521UU818252	嘉義縣中小學校長協會
376509521U	嘉義縣立竹崎高級中學
376509524UUCYC012	嘉義縣太保市教育會
376509524U	嘉義縣立永慶高級中學
376509524UU123456	嘉義縣英語教育資源中心
376509601X	嘉義縣立東石國民中學
376509602XU020000	嘉義縣立大林國民中學會計室
376509602XU010000	嘉義縣立大林國民中學人事室
376509602X	嘉義縣立大林國民中學
376509603X	嘉義縣立布袋國民中學
376509604X	嘉義縣立水上國民中學
376509605X	嘉義縣立溪口國民中學
376509606XU020000	嘉義縣立中埔國民中學會計室
376509606XU010000	嘉義縣立中埔國民中學人事室
376509606X	嘉義縣立中埔國民中學
376509607X	嘉義縣立新港國民中學
376509608X	嘉義縣立民雄國民中學
376509608XU000006	嘉義縣立民雄國民中學人事室
376509609XU010000	嘉義縣立六嘉國民中學人事室
376509609XU020000	嘉義縣立六嘉國民中學會計室
376509609X	嘉義縣立六嘉國民中學
376509610X	嘉義縣立義竹國民中學
376509610XU000001	嘉義縣立義竹國民中學人事室
376509611X	嘉義縣立梅山國民中學
376509611XU000001	嘉義縣立梅山國民中學人事室
376509612XU010000	嘉義縣立朴子國民中學人事室
376509612X	嘉義縣立朴子國民中學
376509612XU020000	嘉義縣立朴子國民中學會計室
376509613X	嘉義縣立鹿草國民中學
376509615X	嘉義縣立民和國民中學
376509616X	嘉義縣立東榮國民中學
376509617X	嘉義縣立太保國民中學
376509619X	嘉義縣立過溝國民中學
376509620X	嘉義縣立忠和國民中學
376509623X	嘉義縣立嘉新國民中學
376509624X	嘉義縣立昇平國民中學
376509625X	嘉義縣立大吉國民中學
376509627X	嘉義縣立阿里山國民中小學
376509628X	嘉義縣立大埔國民中小學
376509629X	嘉義縣豐山實驗教育學校
376509706Y	嘉義縣布袋鎮布袋國民小學
376509707Y	嘉義縣布袋鎮景山國民小學
376509708Y	嘉義縣布袋鎮永安國民小學
376509710Y	嘉義縣布袋鎮過溝國民小學
376509711Y	嘉義縣布袋鎮貴林國民小學
376509712Y	嘉義縣布袋鎮新塭國民小學
376509713Y	嘉義縣布袋鎮新岑國民小學
376509714Y	嘉義縣布袋鎮好美國民小學
376509715Y	嘉義縣大林鎮大林國民小學
376509716Y	嘉義縣大林鎮中林國民小學
376509717YU100010	嘉義縣大林鎮三和國民小學人事室
376509717Y	嘉義縣大林鎮三和國民小學
376509719Y	嘉義縣大林鎮社團國民小學
376509721YU000006	嘉義縣民雄鄉民雄國民小學人事室
376509721Y	嘉義縣民雄鄉民雄國民小學
376509722Y	嘉義縣民雄鄉菁埔國民小學
376509723Y	嘉義縣民雄鄉東榮國民小學
376509723YU111111	嘉義縣民雄鄉東榮國民小學人事室
376509724Y	嘉義縣民雄鄉三興國民小學
376509725YU100000	嘉義縣民雄鄉興中國民小學人事室
376509725Y	嘉義縣民雄鄉興中國民小學
376509726Y	嘉義縣民雄鄉秀林國民小學
376509727Y	嘉義縣民雄鄉松山國民小學
376509728Y	嘉義縣民雄鄉大崎國民小學
376509729Y	嘉義縣溪口鄉溪口國民小學
376509730Y	嘉義縣溪口鄉美林國民小學
376509731Y	嘉義縣溪口鄉柳溝國民小學
376509732YU000002	嘉義縣新港鄉新港國民小學會計室
376509732YU000001	嘉義縣新港鄉新港國民小學人事室
376509732Y	嘉義縣新港鄉新港國民小學
376509733Y	嘉義縣新港鄉文昌國民小學
376509734Y	嘉義縣新港鄉月眉國民小學
376509735Y	嘉義縣新港鄉安和國民小學
376509736Y	嘉義縣新港鄉古民國民小學
376509737Y	嘉義縣新港鄉復興國民小學
376509738Y	嘉義縣六腳鄉六腳國民小學
376509739Y	嘉義縣六腳鄉蒜頭國民小學
376509740Y	嘉義縣六腳鄉六美國民小學
376509741Y	嘉義縣六腳鄉北美國民小學
376509742Y	嘉義縣六腳鄉灣內國民小學
376509743Y	嘉義縣六腳鄉更寮國民小學
376509746Y	嘉義縣東石鄉東石國民小學
376509747Y	嘉義縣東石鄉三江國民小學
376509748Y	嘉義縣東石鄉龍港國民小學
376509749Y	嘉義縣東石鄉下楫國民小學
376509750Y	嘉義縣東石鄉港墘國民小學
376509751Y	嘉義縣東石鄉龍崗國民小學
376509752Y	嘉義縣東石鄉網寮國民小學
376509753Y	嘉義縣義竹鄉義竹國民小學
376509753YU100000	嘉義縣義竹鄉義竹國民小學人事室
376509754Y	嘉義縣義竹鄉光榮國民小學
376509756Y	嘉義縣義竹鄉過路國民小學
376509758Y	嘉義縣義竹鄉南興國民小學
376509760Y	嘉義縣義竹鄉和順國民小學
376509762Y	嘉義縣鹿草鄉鹿草國民小學
376509763Y	嘉義縣鹿草鄉重寮國民小學
376509764Y	嘉義縣鹿草鄉下潭國民小學
376509765Y	嘉義縣鹿草鄉竹園國民小學
376509766Y	嘉義縣鹿草鄉後塘國民小學
376509772Y	嘉義縣水上鄉水上國民小學
376509773Y	嘉義縣水上鄉大崙國民小學
376509774Y	嘉義縣水上鄉柳林國民小學
376509775Y	嘉義縣水上鄉忠和國民小學
376509776Y	嘉義縣水上鄉義興國民小學
376509777Y	嘉義縣水上鄉成功國民小學
376509778Y	嘉義縣水上鄉南靖國民小學
376509780Y	嘉義縣中埔鄉中埔國民小學
376509781Y	嘉義縣中埔鄉大有國民小學
376509782Y	嘉義縣中埔鄉頂六國民小學
376509783YU000002	嘉義縣中埔鄉和睦國民小學會計室
376509783YU000001	嘉義縣中埔鄉和睦國民小學人事室
376509783Y	嘉義縣中埔鄉和睦國民小學
376509784Y	嘉義縣中埔鄉同仁國民小學
376509786Y	嘉義縣中埔鄉沄水國民小學
376509788Y	嘉義縣中埔鄉社口國民小學
376509791Y	嘉義縣中埔鄉中山國民小學
376509793Y	嘉義縣番路鄉民和國民小學
376509794Y	嘉義縣番路鄉內甕國民小學
376509795Y	嘉義縣番路鄉黎明國民小學
376509799Y	嘉義縣番路鄉隙頂國民小學
376509800Y	嘉義縣竹崎鄉竹崎國民小學
376509800YU070000	嘉義縣竹崎鄉竹崎國民小學人事室
376509802Y	嘉義縣竹崎鄉龍山國民小學
376509803Y	嘉義縣竹崎鄉鹿滿國民小學
376509804Y	嘉義縣竹崎鄉圓崇國民小學
376509805Y	嘉義縣竹崎鄉內埔國民小學
376509806Y	嘉義縣竹崎鄉桃源國民小學
376509807Y	嘉義縣竹崎鄉中和國民小學
376509808Y	嘉義縣竹崎鄉中興國民小學
376509809Y	嘉義縣竹崎鄉光華國民小學
376509812Y	嘉義縣竹崎鄉義仁國民小學
376509813Y	嘉義縣竹崎鄉沙坑國民小學
376509815Y	嘉義縣梅山鄉梅山國民小學
376509816Y	嘉義縣梅山鄉梅圳國民小學
376509817Y	嘉義縣梅山鄉太平國民小學
376509819Y	嘉義縣梅山鄉太興國民小學
376509820Y	嘉義縣梅山鄉瑞里國民小學
376509821Y	嘉義縣梅山鄉瑞峰國民小學
376509822Y	嘉義縣梅山鄉大南國民小學
376509825Y	嘉義縣梅山鄉仁和國民小學
376509838Y	嘉義縣溪口鄉柴林國民小學
376509840Y	嘉義縣東石鄉塭港國民小學
376509841Y	嘉義縣水上鄉北回國民小學
376509842Y	嘉義縣阿里山鄉香林國民小學
376509843Y	嘉義縣阿里山鄉十字國民小學
376509844Y	嘉義縣阿里山鄉達邦國民小學
376509846Y	嘉義縣阿里山鄉山美國民小學
376509847Y	嘉義縣阿里山鄉新美國民小學
376509848Y	嘉義縣阿里山鄉來吉國民小學
376509851Y	嘉義縣太保市太保國民小學
376509851YU010000	嘉義縣太保市太保國民小學人事室
376509852Y	嘉義縣太保市安東國民小學
376509853YU020000	嘉義縣太保市南新國民小學會計室
376509853Y	嘉義縣太保市南新國民小學
376509853YU010000	嘉義縣太保市南新國民小學人事室
376509854Y	嘉義縣太保市新埤國民小學
376509855Y	嘉義縣布袋鎮布新國民小學
376509856Y	嘉義縣朴子市朴子國民小學
376509857Y	嘉義縣朴子市雙溪國民小學
376509858YU010000	嘉義縣朴子市大同國民小學人事室
376509858YU020000	嘉義縣朴子市大同國民小學會計室
376509858Y	嘉義縣朴子市大同國民小學
376509859Y	嘉義縣朴子市竹村國民小學
376509860Y	嘉義縣朴子市松梅國民小學
376509861Y	嘉義縣朴子市大鄉國民小學
376509862Y	嘉義縣阿里山鄉茶山國民小學
376509863YU000001	嘉義縣中埔鄉和興國民小學人事室
376509863Y	嘉義縣中埔鄉和興國民小學
376509867Y	嘉義縣大林鎮平林國民小學
376509868Y	嘉義縣梅山鄉梅北國民小學
376509869Y	嘉義縣朴子市祥和國民小學
376509870YU000001	嘉義縣民雄鄉福樂國民小學人事室
376509870Y	嘉義縣民雄鄉福樂國民小學
376509870YU000002	嘉義縣民雄鄉福樂國民小學會計室
376530000AU070000	屏東縣政府社會處
376530000AU250000	屏東縣政府交通旅遊處
376530000AU230000	屏東縣政府勞動暨青年發展處
376530000AU260000	屏東縣政府傳播暨國際事務處
376530000AU060000	屏東縣政府農業處
376530000AU160000	屏東縣政府主計處
376530000AU040000	屏東縣政府工務處
376530000AU030000	屏東縣政府城鄉發展處
376530000A	屏東縣政府
376530000AU080000	屏東縣政府民政處
376530000AU100000	屏東縣政府原住民處
376530000AU090000	屏東縣政府地政處
376530000AU210000	屏東縣政府水利處
376530000AU140000	屏東縣政府客家事務處
376530000AU290000	屏東縣道路交通安全聯席會報
376530000AU010000	屏東縣政府人事處
376530000AU020000	屏東縣政府政風處
376530000AU270000	屏東縣政府長期照護處
376530000AU280000	屏東縣政府行政暨研考處
376530000AU150000	屏東縣政府文化處
376530000AU050000	屏東縣政府教育處
376530303IU020000	屏東縣嚴重特殊傳染性肺炎流行疫情指揮中心
376530303I	屏東縣政府衛生局
376530303IU010000	屏東縣政府衛生局會計室
376530306I	屏東縣政府環境保護局
376530306IU000007	屏東縣政府環境保護局會計室
376530341I	屏東縣屏東市衛生所
376530342I	屏東縣潮州鎮衛生所
376530343I	屏東縣東港鎮衛生所
376530344I	屏東縣恆春鎮衛生所
376530345I	屏東縣萬丹鄉衛生所
376530346I	屏東縣長治鄉衛生所
376530347I	屏東縣麟洛鄉衛生所
376530348I	屏東縣九如鄉衛生所
376530349I	屏東縣里港鄉衛生所
376530350I	屏東縣鹽埔鄉衛生所
376530351I	屏東縣高樹鄉衛生所
376530352I	屏東縣萬巒鄉衛生所
376530353I	屏東縣內埔鄉衛生所
376530354I	屏東縣竹田鄉衛生所
376530355I	屏東縣新埤鄉衛生所
376530356I	屏東縣枋寮鄉衛生所
376530357I	屏東縣新園鄉衛生所
376530358I	屏東縣崁頂鄉衛生所
376530359I	屏東縣林邊鄉衛生所
376530360I	屏東縣南州鄉衛生所
376530361I	屏東縣佳冬鄉衛生所
376530362I	屏東縣琉球鄉衛生所
376530363I	屏東縣車城鄉衛生所
376530364I	屏東縣滿州鄉衛生所
376530365I	屏東縣枋山鄉衛生所
376530367I	屏東縣霧臺鄉衛生所
376530368I	屏東縣瑪家鄉衛生所
376530369I	屏東縣泰武鄉衛生所
376530370I	屏東縣來義鄉衛生所
376530371I	屏東縣春日鄉衛生所
376530372I	屏東縣獅子鄉衛生所
376530373I	屏東縣牡丹鄉衛生所
376530374I	屏東縣三地門鄉衛生所
376530400A	屏東縣屏東地政事務所
376530400AU100000	屏東縣屏東地政事務所會計室
376530500A	屏東縣潮州地政事務所
376530600A	屏東縣東港地政事務所
376530700A	屏東縣恆春地政事務所
376530800A	屏東縣里港地政事務所
376530900A	屏東縣枋寮地政事務所
376531400DU000005	屏東縣政府財稅局會計室
376531400DU010000	屏東縣政府財稅局潮州分局
376531400D	屏東縣政府財稅局
376531400DU020000	屏東縣政府財稅局東港分局
376531400DU030000	屏東縣政府財稅局恆春分局
376531501A	屏東縣屏東市戶政事務所
376531535A	屏東縣東港戶政事務所
376531536A	屏東縣里港戶政事務所
376531537A	屏東縣萬丹戶政事務所
376531538A	屏東縣恆春戶政事務所
376531539A	屏東縣枋寮戶政事務所
376531540A	屏東縣內埔戶政事務所
